Timepoint,No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,Area
T0,1144,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.3,1.315
T0,1145,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.4,0.743
T0,1146,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.5,NA
T0,1147,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.6,0.828
T0,1148,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.7,1.887
T0,1149,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.8,NA
T0,1150,294,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C6,9,2,43,3,9.2.3.9,2.435
T0,1151,295,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,C2,9,3,199,1,9.3.1,NA
T0,1152,296,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,F9,9,3,199,2,9.3.2,NA
T0,1153,297,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B12,9,3,199,3,9.3.3.1,NA
T0,1154,297,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B12,9,3,199,3,9.3.3.2,2.29
T0,1155,297,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B12,9,3,199,3,9.3.3.3,2.751
T0,1156,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.1,NA
T0,1157,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.2,NA
T0,1158,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.3,NA
T0,1159,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.4,NA
T0,1160,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.5,2.39
T0,1161,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.6,1.817
T0,1162,298,HF72,C85,Martin11xDavies9,MAxDA,Martin11,Davies9,NorthxCentral,Hybrid,Hybrid,B13,9,4,27,1,9.4.1.7,1.058
T0,1163,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.1,2.254
T0,1164,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.2,2.167
T0,1165,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.3,NA
T0,1166,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.4,1.096
T0,1167,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.5,2.104
T0,1168,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.6,1.619
T0,1169,299,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,C1,9,4,27,2,9.4.2.7,2.864
T0,1170,300,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D1,9,4,27,3,9.4.3.1,1.009
T0,1171,301,HF84,C63,Davies16xDavies18,DAxDA,Davies16,Davies18,CentralxCentral,CentralxCentral,CentralPure,J2,9,5,162,1,9.5.1.1,NA
T0,1172,302,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,E3,9,5,162,2,9.5.2.1,0.749
T0,1173,302,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,E3,9,5,162,2,9.5.2.2,1.536
T0,1174,303,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D2,9,5,162,3,9.5.3.1,1.308
T0,1175,303,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,D2,9,5,162,3,9.5.3.2,1.619
T0,1176,304,HF80,C86,Martin11xDavies15,MAxDA,Martin11,Davies15,NorthxCentral,Hybrid,Hybrid,D3,9,6,188,1,9.6.1,NA
T0,1177,305,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,B3,9,6,188,2,9.6.2.1,0.66
T0,1178,306,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,B11,9,6,188,3,9.6.3,NA
T0,1179,307,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A11,9,7,15,1,9.7.1.1,0.872
T0,1180,307,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A11,9,7,15,1,9.7.1.2,0.747
T0,1181,307,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A11,9,7,15,1,9.7.1.3,0.685
T0,1182,308,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C15,9,7,15,2,9.7.2.1,1.023
T0,1183,308,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C15,9,7,15,2,9.7.2.2,1.729
T0,1184,308,Davies,Rm3Davies,DaviesBulk,DAxDA,Davies,Davies,CentralxCentral,CentralxCentral,CentralPure,C15,9,7,15,2,9.7.2.3,1.717
T0,1185,309,HF44,C129,Davies14xMartin14,DAxMA,Davies14,Martin14,CentralxNorth,Hybrid,Hybrid,H13,9,7,15,3,9.7.3.1,0.764
T0,1186,310,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G8,9,8,262,1,9.8.1.1,0.859
T0,1187,310,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G8,9,8,262,1,9.8.1.2,0.897
T0,1188,310,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,G8,9,8,262,1,9.8.1.3,1.133
T0,1189,311,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,B7,9,8,262,2,9.8.2.1,1.22
T0,1190,311,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,B7,9,8,262,2,9.8.2.2,1.955
T0,1191,311,HF2,C31,Wood4xMartin14,WDxMA,Wood4,Martin14,NorthxNorth,NorthxNorth,NorthHybrid,B7,9,8,262,2,9.8.2.3,1.694
