No,No2,Family,Cone,Cross,popcross,Mom,Dad,RegionCross2,RegionCross,Breed,StartPos,Rack,DevicePos,DeviceNo,PlugPosition,IndID,ColEnd,ColEndCor,GreyCorrectionScore,GreyCorrectionScoreDif
92,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.12,116.891,131.101,187,14.21
93,25,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A13,1,9,84,1,1.9.1.13,122.55,136.76,187,14.21
94,26,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A15,1,9,84,2,1.9.2.1,82.821,97.031,187,14.21
95,27,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A12,1,9,84,3,1.9.3.1,122.852,137.062,187,14.21
96,27,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A12,1,9,84,3,1.9.3.2,122.625,136.835,187,14.21
97,27,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A12,1,9,84,3,1.9.3.3,127.389,141.599,187,14.21
98,27,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A12,1,9,84,3,1.9.3.4,127.981,142.191,187,14.21
99,28,Martin,Rm3Martin,MartinBulk,MAxMA,Martin,Martin,NorthxNorth,NorthxNorth,NorthPure,A14,1,10,58,1,1.10.1,NA,NA,164,-8.79
100,29,HF62,C4,Davies17xArlington6,DAxAR,Davies17,Arlington6,CentralxCentral,CentralxCentral,CentralHybrid,A14,1,10,58,2,1.10.2.1,99.396,90.606,164,-8.79
101,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.1,125.977,117.187,164,-8.79
102,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.2,127.69,118.9,164,-8.79
103,30,Palms,Rm3Palms,PalmsBulk,PIxPI,Palms,Palms,CentralxCentral,CentralxCentral,CentralPure,A11,1,10,58,3,1.10.3.3,105.003,96.213,164,-8.79
